Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20260413|A|355992|0|689468|TRF
20260414|A|498830|0|833285|TRF
20260415|A|359843|0|893835|TRF
20260416|A|324603|762|628473|TRF
20260413|AA|599874|3610|1360722|TRF
20260414|AA|701037|785|1430938|TRF
20260415|AA|553078|3304|1338108|TRF
20260416|AA|916626|111|1984641|TRF
20260413|AAA|80|0|6466|TRF
20260414|AAA|126|0|2459|TRF
20260415|AAA|217|0|7268|TRF
20260416|AAA|2684|0|9353|TRF
20260413|AAAA|118|0|2137|TRF
20260415|AAAA|2021|1|2668|TRF
20260416|AAAA|753|0|4585|TRF
20260413|AAAC|3|0|3|TRF
20260414|AAAC|1|0|3|TRF
20260415|AAAC|0|0|0|TRF
20260413|AAAU|178871|0|321679|TRF
20260414|AAAU|277631|0|370948|TRF
20260415|AAAU|64997|0|216056|TRF
20260416|AAAU|60513|0|127706|TRF
20260414|AACB|3|0|306|TRF
20260416|AACB|1|0|10|TRF
20260415|AACBR|1|0|21|TRF
20260414|AACBU|1|0|1|TRF
20260413|AACG|764|0|1884|TRF
20260414|AACG|726|0|4928|TRF
20260415|AACG|1482|0|5958|TRF
20260416|AACG|208|0|883|TRF
20260415|AACI|1|0|157|TRF
20260416|AACI|110|0|110|TRF
20260413|AACIU|402|0|402|TRF
20260416|AACIU|19|0|119|TRF
20260413|AACIW|180|0|180|TRF
20260413|AACO|1|0|1|TRF
20260415|AACO|1|0|601|TRF
20260416|AACO|11|0|763|TRF
20260413|AACOU|600|100|2102|TRF
20260416|AACOU|400|0|400|TRF
20260415|AACOW|6|0|8|TRF
20260416|AACOW|100|0|11750|TRF
20260413|AACPU|1805|0|123333|TRF
20260414|AACPU|1|0|3415|TRF
20260415|AACPU|2|0|2548|TRF
20260416|AACPU|66|0|5028|TRF
20260413|AADR|610|0|1036|TRF
20260414|AADR|44|0|489|TRF
20260415|AADR|540|0|1593|TRF
20260416|AADR|370|0|644|TRF
20260413|AAL|14859374|15999|28065658|TRF
20260414|AAL|17103295|173912|42069469|TRF
20260415|AAL|13161878|30123|30861396|TRF
20260416|AAL|15061454|20432|30211271|TRF
20260413|AALG|22063|0|31350|TRF
20260414|AALG|9832|0|58863|TRF
20260415|AALG|1204|0|22696|TRF
20260416|AALG|2155|0|19229|TRF
20260413|AAME|797|0|2394|TRF
20260414|AAME|1438|0|3280|TRF
20260415|AAME|2721|0|5390|TRF
20260416|AAME|3284|0|11976|TRF
20260413|AAMI|58452|0|127263|TRF
20260414|AAMI|40964|0|113015|TRF
20260415|AAMI|62585|0|152379|TRF
20260416|AAMI|66623|0|127276|TRF
20260413|AAOI|2094748|4998|4738063|TRF
20260414|AAOI|2052531|4935|4927513|TRF
20260415|AAOI|1376743|8121|4326075|TRF
20260416|AAOI|1754820|8474|4886312|TRF
20260413|AAON|210441|0|289029|TRF
20260414|AAON|226719|0|378196|TRF
20260415|AAON|340644|907|602215|TRF
20260416|AAON|201269|10999|346687|TRF
20260413|AAOX|506779|5137|763768|TRF
20260414|AAOX|525743|57004|842517|TRF
20260415|AAOX|338311|125218|827375|TRF
20260416|AAOX|330225|50989|706833|TRF
20260413|AAP|231101|0|694156|TRF
20260414|AAP|244742|0|509661|TRF
20260415|AAP|266819|0|540389|TRF
20260416|AAP|274781|0|510816|TRF
20260413|AAPB|27610|0|46986|TRF
20260414|AAPB|18391|0|36727|TRF
20260415|AAPB|21544|0|35010|TRF
20260416|AAPB|14556|0|36816|TRF
20260413|AAPD|935917|0|3183367|TRF
20260414|AAPD|1095648|0|3605707|TRF
20260415|AAPD|1527271|0|4432823|TRF
20260416|AAPD|1024092|0|3486033|TRF
20260413|AAPG|116|0|444|TRF
20260414|AAPG|42|0|194|TRF
20260415|AAPG|47|0|485|TRF
20260416|AAPG|110|0|223|TRF
20260413|AAPL|6193502|43704|11928364|TRF
20260414|AAPL|7818973|24393|15818240|TRF
20260415|AAPL|8194471|44948|16965606|TRF
20260416|AAPL|7463449|85035|15101745|TRF
20260413|AAPR|1345|0|2752|TRF
20260414|AAPR|4468|0|5912|TRF
20260415|AAPR|7146|0|7748|TRF
20260416|AAPR|8473|0|8644|TRF
20260413|AAPU|244597|500|448355|TRF
20260414|AAPU|969091|3740|1344981|TRF
20260415|AAPU|680680|193|1343426|TRF
20260416|AAPU|605241|4163|1248154|TRF
20260413|AAPW|1110|0|5894|TRF
20260414|AAPW|2414|0|8480|TRF
20260415|AAPW|3771|0|7162|TRF
20260416|AAPW|1602|0|3060|TRF
20260413|AAPX|17115|0|28267|TRF
20260414|AAPX|12952|0|21972|TRF
20260415|AAPX|26835|0|38133|TRF
20260416|AAPX|45676|744|74827|TRF
20260413|AAPY|285|0|898|TRF
20260414|AAPY|148|0|398|TRF
20260415|AAPY|2461|0|2941|TRF
20260416|AAPY|499|0|876|TRF
20260413|AARD|25798|0|87155|TRF
20260414|AARD|49470|20|106550|TRF
20260415|AARD|104129|33|155313|TRF
20260416|AARD|40532|0|66106|TRF
20260413|AAT|44479|0|69207|TRF
20260414|AAT|77447|0|114077|TRF
